Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  Massai Casta_o 1 SoyaAplic. Herbicida ; Brice_oCasta_o 1 SoyaAplic. Herbicida ;27-07-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Casta_o 1  ; Soya ;;8;;;  Rounup/Urea  ;;4;  HT  ;20.000;80.000;15.200;95.200;  Massai  ;;;
  Massai La FortunaSoyaAplic. Herbicida ; Brice_oLa FortunaSoyaAplic. Herbicida ;27-07-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; Soya ;;9;;;  Rounup/Urea  ;;4;  HT  ;20.000;80.000;15.200;95.200;  Massai  ;;;
  Arancibia G NogalesApioCultivar ; Brice_oNogalesApioCultivar ;27-07-16;Brice_o;  Cultivar  ; Cultivar ;; Nogales ; Apio ;;;;;;;5;  HA  ;25.000;125.000;23.750;148.750;  Arancibia G  ;;;
  Massai NogalesColiflorAplic. Pesticidas ; Brice_oNogalesColiflorAplic. Pesticidas ;28-07-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Nogales ; Coliflor ;;10;;;  zero kocide li700  ;;1;  ha  ;20.000;20.000;3.800;23.800;  Massai  ;;;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;05-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;13;;;  Buldock/Bravo/Terrasorb/coron/s,mg  ;;3;  Ha  ;20.000;60.000;11.400;71.400;  Massai  ;;;
  Massai La FortunaApioAplic. Pesticidas ; Brice_oLa FortunaApioAplic. Pesticidas ;05-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; La Fortuna ; Apio ;;15;;;  Ensayo Cupratec /leci mip  ;;1;  ha  ;20.000;20.000;3.800;23.800;  Massai  ;;;
  Massai Casta_o 1 SoyaRastraje ; Brice_oCasta_o 1 SoyaRastraje ;06-08-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 1  ; Soya ;;;;;  Preparacion suelo  ;;3,5;  Ha  ;24.500;85.750;16.293;102.043;  Massai  ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;06-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;16;;;  Cantus/li700/selecron/sorba  ;;2;  Ha  ;20.000;40.000;7.600;47.600;  Massai  ;;;
  Massai La FortunaSoyaRastraje ; Brice_oLa FortunaSoyaRastraje ;08-08-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Soya ;;;;;  Preparacion suelo  ;;3;  Ha  ;24.500;73.500;13.965;87.465;  Massai  ;;;
  Massai San JorgeApioCultivar ; Brice_oSan JorgeApioCultivar ;08-08-16;Brice_o;  Cultivar  ; Cultivar ;; San Jorge ; Apio ;;;;;;;16,5;  Ha  ;25.000;412.500;78.375;490.875;  Massai  ;;;
