Criterio Gastos;Criterio ingresos Edison;Fecha;Prestador Servicio;  Labor  ; Clasificaci„n Labores ;  Tractor ;  Lugar  ;  Cultivo  ;  Sector  ;  Orden/report  ;  Chofer  ;  Tractor  ;  Producto  ;  Veces  ;Cantidad;  Unid.  ;  Unitario  ;  Neto  ;  iva  ;  Total  ;  A Empresa  ;  Factura  ; Factura ;
  N. Zamora Sta OlgaApio 17Rotovator sin melga ; Brice_oSta OlgaApio 17Rotovator sin melga ;16-11-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Sta Olga ; Apio 17 ;;;;;;1;2;  ha  ;60.000;120.000;;120.000;  N. Zamora  ;;;
  N. Zamora Sta OlgaApio 17Acequiar ; Brice_oSta OlgaApio 17Acequiar ;16-11-16;Brice_o;Acequiar;Acequiar;; Sta Olga ; Apio 17 ;;;;;;1;2;  ha  ;8.000;16.000;;16.000;  N. Zamora  ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;16-11-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;4;;;;;6;10;  ha  ;25.000;1.500.000;;1.500.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;4;;;;;1;10;  ha  ;50.000;500.000;;500.000; Valcam ;;;
 ValcamLlay llayApio 17Acequiar ; Brice_oLlay llayApio 17Acequiar ;16-11-16;Brice_o;Acequiar;Acequiar;; Llay llay ; Apio 17 ;4;;;;;2;10;  ha  ;8.000;160.000;;160.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;  Arado  ;Aradura;; Llay llay ; Apio 17 ;4;;;;;1;10;  ha  ;50.000;500.000;;500.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Guano ; Brice_oLlay llayApio 17Aplic. Guano ;16-11-16;Brice_o;Aplic. Guano;Aplic. Guano;; Llay llay ; Apio 17 ;4;;;;;1;10;  ha  ;60.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;16-11-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;4;;;;;2;10;  ha  ;20.000;400.000;;400.000; Valcam ;;;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;16-11-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Llay llay ; Apio 17 ;4;;;;;1;10;  ha  ;60.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;16-11-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;1;;;;;4;10;  ha  ;25.000;1.000.000;;1.000.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;1;;;;;1;10;  ha  ;50.000;500.000;;500.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;  Arado  ;Aradura;; Llay llay ; Apio 17 ;1;;;;;1;10;  ha  ;50.000;500.000;;500.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;16-11-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;1;;;;;2;10;  ha  ;20.000;400.000;;400.000; Valcam ;;;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;16-11-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Llay llay ; Apio 17 ;1;;;;;1;10;  ha  ;60.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayApio 17Acequiar ; Brice_oLlay llayApio 17Acequiar ;16-11-16;Brice_o;Acequiar;Acequiar;; Llay llay ; Apio 17 ;1;;;;;1;10;  ha  ;8.000;80.000;;80.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;16-11-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;3;;;;;4;6;  ha  ;25.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;3;;;;;1;6;  ha  ;50.000;300.000;;300.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;16-11-16;Brice_o;  Arado  ;Aradura;; Llay llay ; Apio 17 ;3;;;;;1;6;  ha  ;50.000;300.000;;300.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;16-11-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;3;;;;;2;6;  ha  ;20.000;240.000;;240.000; Valcam ;;;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;16-11-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Llay llay ; Apio 17 ;3;;;;;1;6;  ha  ;60.000;360.000;;360.000; Valcam ;;;
 ValcamLlay llayApio 17Acequiar ; Brice_oLlay llayApio 17Acequiar ;16-11-16;Brice_o;Acequiar;Acequiar;; Llay llay ; Apio 17 ;3;;;;;1;6;  ha  ;8.000;48.000;;48.000; Valcam ;;;
 ValcamLlay llayColchina 17Rastraje ; Brice_oLlay llayColchina 17Rastraje ;16-11-16;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Colchina 17 ;3;;;;;4;6;  ha  ;25.000;600.000;;600.000; Valcam ;;;
 ValcamLlay llayColchina 17Aradura ; Brice_oLlay llayColchina 17Aradura ;16-11-16;Brice_o;ST;Aradura;; Llay llay ; Colchina 17 ;3;;;;;1;6;  ha  ;50.000;300.000;;300.000; Valcam ;;;
 ValcamLlay llayColchina 17Aradura ; Brice_oLlay llayColchina 17Aradura ;16-11-16;Brice_o;  Arado  ;Aradura;; Llay llay ; Colchina 17 ;3;;;;;1;6;  ha  ;50.000;300.000;;300.000; Valcam ;;;
 ValcamLlay llayColchina 17Aplic. Herbicida ; Brice_oLlay llayColchina 17Aplic. Herbicida ;16-11-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Colchina 17 ;3;;;;;2;6;  ha  ;20.000;240.000;;240.000; Valcam ;;;
 ValcamLlay llayColchina 17Rotovator sin melga ; Brice_oLlay llayColchina 17Rotovator sin melga ;16-11-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Llay llay ; Colchina 17 ;3;;;;;1;6;  ha  ;60.000;360.000;;360.000; Valcam ;;;
 ValcamLlay llayColchina 17Acequiar ; Brice_oLlay llayColchina 17Acequiar ;16-11-16;Brice_o;Acequiar;Acequiar;; Llay llay ; Colchina 17 ;3;;;;;1;6;  ha  ;8.000;48.000;;48.000; Valcam ;;;
 ValcamLlay llayApio 17Rastraje ; Brice_oLlay llayApio 17Rastraje ;;Brice_o;  Rastraje  ;Rastraje;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;25.000;175.000;;175.000; Valcam ;;;
 ValcamLlay llayApio 17Otros ; Brice_oLlay llayApio 17Otros ;;Brice_o;  Cuncuna  ; Otros ;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;5;  ha  ;17.000;85.000;;85.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;;Brice_o;ST;Aradura;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;50.000;350.000;;350.000; Valcam ;;;
 ValcamLlay llayApio 17Aradura ; Brice_oLlay llayApio 17Aradura ;;Brice_o;  Arado  ;Aradura;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;50.000;350.000;;350.000; Valcam ;;;
 ValcamLlay llayApio 17Aplic. Herbicida ; Brice_oLlay llayApio 17Aplic. Herbicida ;;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;20.000;140.000;;140.000; Valcam ;;;
 ValcamLlay llayApio 17Rotovator sin melga ; Brice_oLlay llayApio 17Rotovator sin melga ;;Brice_o;  Rotovator  ;Rotovator sin melga;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;60.000;420.000;;420.000; Valcam ;;;
 ValcamLlay llayApio 17Acequiar ; Brice_oLlay llayApio 17Acequiar ;;Brice_o;Acequiar;Acequiar;; Llay llay ; Apio 17 ;2;  cuartel 1  ;;;;1;7;  ha  ;8.000;56.000;;56.000; Valcam ;;;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;21-07-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;71;71;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;05-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;71;71;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;17-08-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;71;71;
  Massai Casta_o 1 ColiflorAplic. Pesticidas ; Brice_oCasta_o 1 ColiflorAplic. Pesticidas ;05-09-16;Brice_o;  Aplic. Pesticidas  ; Aplic. Pesticidas ;; Casta_o 1  ; Coliflor ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;71;71;
  Massai San JorgeMaÍzRastraje ; Brice_oSan JorgeMaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; MaÍz ;;;;;;2;1,2;  ha  ;24.500;58.800;11.172;69.972;  Massai  ;63;63;
  Massai San JorgeMaÍzAradura ; Brice_oSan JorgeMaÍzAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; MaÍz ;;;;;;1;1,2;  ha  ;61.000;73.200;13.908;87.108;  Massai  ;63;63;
  Massai San JorgeMaÍzRastraje ; Brice_oSan JorgeMaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; MaÍz ;;;;;;2;1,2;  ha  ;24.500;58.800;11.172;69.972;  Massai  ;63;63;
  Massai San JorgeMaÍzAplic. Herbicida ; Brice_oSan JorgeMaÍzAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; San Jorge ; MaÍz ;;;;;;1;1,2;  ha  ;20.000;24.000;4.560;28.560;  Massai  ;63;63;
  Massai San JorgeMaÍzRotovator con melga ; Brice_oSan JorgeMaÍzRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; MaÍz ;;;;;;1;1,2;  ha  ;60.000;72.000;13.680;85.680;  Massai  ;63;63;
  Massai San JorgeColiflorRastraje ; Brice_oSan JorgeColiflorRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Coliflor ;;;;;;2;0,8;  ha  ;24.500;39.200;7.448;46.648;  Massai  ;63;63;
  Massai San JorgeColiflorAradura ; Brice_oSan JorgeColiflorAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; Coliflor ;;;;;;1;0,8;  ha  ;61.000;48.800;9.272;58.072;  Massai  ;63;63;
  Massai San JorgeColiflorRastraje ; Brice_oSan JorgeColiflorRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Coliflor ;;;;;;2;0,8;  ha  ;24.500;39.200;7.448;46.648;  Massai  ;63;63;
  Massai San JorgeColiflorAplic. Herbicida ; Brice_oSan JorgeColiflorAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; San Jorge ; Coliflor ;;;;;;1;0,8;  ha  ;20.000;16.000;3.040;19.040;  Massai  ;63;63;
  Massai San JorgeColiflorRotovator con melga ; Brice_oSan JorgeColiflorRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; Coliflor ;;;;;;1;0,8;  ha  ;60.000;48.000;9.120;57.120;  Massai  ;63;63;
  Massai San JorgeApioRastraje ; Brice_oSan JorgeApioRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Apio ;;;;;;2;0,2;  ha  ;24.500;9.800;1.862;11.662;  Massai  ;63;63;
  Massai San JorgeApioAradura ; Brice_oSan JorgeApioAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; Apio ;;;;;;1;0,2;  ha  ;61.000;12.200;2.318;14.518;  Massai  ;63;63;
  Massai San JorgeApioRastraje ; Brice_oSan JorgeApioRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Apio ;;;;;;2;0,2;  ha  ;24.500;9.800;1.862;11.662;  Massai  ;63;63;
  Massai San JorgeApioAplic. Herbicida ; Brice_oSan JorgeApioAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; San Jorge ; Apio ;;;;;;1;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;63;63;
  Massai San JorgeApioCultivar ; Brice_oSan JorgeApioCultivar ;01-10-16;Brice_o;  Cultivar  ; Cultivar ;; San Jorge ; Apio ;;;;;;2;0,2;  ha  ;20.000;8.000;1.520;9.520;  Massai  ;63;63;
  Massai San JorgeApioRotovator con melga ; Brice_oSan JorgeApioRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; Apio ;;;;;;1;0,2;  ha  ;60.000;12.000;2.280;14.280;  Massai  ;63;63;
  Massai San JorgeSoyaRastraje ; Brice_oSan JorgeSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Soya ;;;;;;2;0,2;  ha  ;24.500;9.800;1.862;11.662;  Massai  ;63;63;
  Massai San JorgeSoyaAradura ; Brice_oSan JorgeSoyaAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; Soya ;;;;;;1;0,2;  ha  ;61.000;12.200;2.318;14.518;  Massai  ;63;63;
  Massai San JorgeSoyaRastraje ; Brice_oSan JorgeSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Soya ;;;;;;2;0,2;  ha  ;24.500;9.800;1.862;11.662;  Massai  ;63;63;
  Massai San JorgeSoyaAplic. Herbicida ; Brice_oSan JorgeSoyaAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; San Jorge ; Soya ;;;;;;1;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;63;63;
  Massai San JorgeSoyaCultivar ; Brice_oSan JorgeSoyaCultivar ;01-10-16;Brice_o;  Cultivar  ; Cultivar ;; San Jorge ; Soya ;;;;;;1;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;63;63;
  Massai San JorgeSoyaRotovator con melga ; Brice_oSan JorgeSoyaRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; Soya ;;;;;;1;0,2;  ha  ;60.000;12.000;2.280;14.280;  Massai  ;63;63;
  Massai San JorgeSoyaRastraje ; Brice_oSan JorgeSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Soya ;;;;;;2;0,3;  ha  ;24.500;14.700;2.793;17.493;  Massai  ;63;63;
  Massai San JorgeSoyaAradura ; Brice_oSan JorgeSoyaAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; Soya ;;;;;;1;0,3;  ha  ;61.000;18.300;3.477;21.777;  Massai  ;63;63;
  Massai San JorgeSoyaRastraje ; Brice_oSan JorgeSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Soya ;;;;;;2;0,3;  ha  ;24.500;14.700;2.793;17.493;  Massai  ;63;63;
  Massai San JorgeSoyaRotovator con melga ; Brice_oSan JorgeSoyaRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; Soya ;;;;;;1;0,3;  ha  ;60.000;18.000;3.420;21.420;  Massai  ;63;63;
  Massai San JorgeZapalloRastraje ; Brice_oSan JorgeZapalloRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Zapallo ;;;;;;2;2,8;  ha  ;24.500;137.200;26.068;163.268;  Massai  ;63;63;
  Massai San JorgeZapalloAradura ; Brice_oSan JorgeZapalloAradura ;01-10-16;Brice_o;  Arado  ;Aradura;; San Jorge ; Zapallo ;;;;;;1;2,8;  ha  ;61.000;170.800;32.452;203.252;  Massai  ;63;63;
  Massai San JorgeZapalloRastraje ; Brice_oSan JorgeZapalloRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; San Jorge ; Zapallo ;;;;;;2;2,8;  ha  ;24.500;137.200;26.068;163.268;  Massai  ;63;63;
  Massai San JorgeZapalloRotovator con melga ; Brice_oSan JorgeZapalloRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; San Jorge ; Zapallo ;;;;;;1;2,8;  ha  ;60.000;168.000;31.920;199.920;  Massai  ;63;63;
  Massai San JorgeZapalloArriendo Maquinarias ; Brice_oSan JorgeZapalloArriendo Maquinarias ;01-10-16;Brice_o;  Arriendo tractor siembra  ;Arriendo Maquinarias;; San Jorge ; Zapallo ;;;;;;1;8;  hrs  ;13.000;104.000;19.760;123.760;  Massai  ;63;63;
  Massai San JorgeZapalloCultivar ; Brice_oSan JorgeZapalloCultivar ;01-10-16;Brice_o;  Cultivar  ; Cultivar ;; San Jorge ; Zapallo ;;;;;;2;2,8;  ha  ;20.000;112.000;21.280;133.280;  Massai  ;63;63;
  Massai La FortunaSoyaRastraje ; Brice_oLa FortunaSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Soya ;;;;;;2;4;  ha  ;20.000;160.000;30.400;190.400;  Massai  ;63;63;
  Massai La FortunaSoyaAradura ; Brice_oLa FortunaSoyaAradura ;01-10-16;Brice_o;  Cincel  ;Aradura;; La Fortuna ; Soya ;;;;;;2;4;  ha  ;24.500;196.000;37.240;233.240;  Massai  ;63;63;
  Massai La FortunaSoyaRastraje ; Brice_oLa FortunaSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Soya ;;;;;;1;4;  ha  ;20.000;80.000;15.200;95.200;  Massai  ;63;63;
  Massai La FortunaSoyaEncamado ; Brice_oLa FortunaSoyaEncamado ;01-10-16;Brice_o;  Encamado Riego c/ implm Massai  ;Encamado;; La Fortuna ; Soya ;;;;;;1;4;  ha  ;13.000;52.000;9.880;61.880;  Massai  ;63;63;
  Massai La FortunaSoyaRastraje ; Brice_oLa FortunaSoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Soya ;;;;;;1;4;  ha  ;20.000;80.000;15.200;95.200;  Massai  ;63;63;
  Massai La FortunaSoyaAplic. Herbicida ; Brice_oLa FortunaSoyaAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; Soya ;;;;;;1;4;  ha  ;20.000;80.000;15.200;95.200;  Massai  ;63;63;
  Massai La FortunaSoyaRotovator con melga ; Brice_oLa FortunaSoyaRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; La Fortuna ; Soya ;;;;;;1;4;  ha  ;60.000;240.000;45.600;285.600;  Massai  ;63;63;
  Massai La FortunaZapalloRastraje ; Brice_oLa FortunaZapalloRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Zapallo ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;63;63;
  Massai La FortunaZapalloAradura ; Brice_oLa FortunaZapalloAradura ;01-10-16;Brice_o;  Cincel  ;Aradura;; La Fortuna ; Zapallo ;;;;;;2;2;  ha  ;24.500;98.000;18.620;116.620;  Massai  ;63;63;
  Massai La FortunaZapalloRastraje ; Brice_oLa FortunaZapalloRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Zapallo ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;63;63;
  Massai La FortunaZapalloRotovator con melga ; Brice_oLa FortunaZapalloRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; La Fortuna ; Zapallo ;;;;;;1;2;  ha  ;60.000;120.000;22.800;142.800;  Massai  ;63;63;
  Massai La FortunaZapalloArriendo Maquinarias ; Brice_oLa FortunaZapalloArriendo Maquinarias ;01-10-16;Brice_o;  Arriendo tractor siembra  ;Arriendo Maquinarias;; La Fortuna ; Zapallo ;;;;;;1;8;  hrs  ;13.000;104.000;19.760;123.760;  Massai  ;63;63;
  Massai La FortunaZapalloCultivar ; Brice_oLa FortunaZapalloCultivar ;01-10-16;Brice_o;  Cultivar  ; Cultivar ;; La Fortuna ; Zapallo ;;;;;;2;2;  ha  ;20.000;80.000;15.200;95.200;  Massai  ;63;63;
  Massai La FortunaFloresRastraje ; Brice_oLa FortunaFloresRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; Flores ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;63;63;
  Massai La FortunaFloresAradura ; Brice_oLa FortunaFloresAradura ;01-10-16;Brice_o;  Cincel  ;Aradura;; La Fortuna ; Flores ;;;;;;2;2;  ha  ;24.500;98.000;18.620;116.620;  Massai  ;63;63;
  Massai La FortunaFloresAbonado ; Brice_oLa FortunaFloresAbonado ;01-10-16;Brice_o;  Abonador c/trompo  ; Abonado ;; La Fortuna ; Flores ;;;;;;1;2;  ha  ;20.000;40.000;7.600;47.600;  Massai  ;63;63;
  Massai La FortunaFloresRotovator con melga ; Brice_oLa FortunaFloresRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; La Fortuna ; Flores ;;;;;;1;2;  ha  ;60.000;120.000;22.800;142.800;  Massai  ;63;63;
  Massai La FortunaFloresCultivar ; Brice_oLa FortunaFloresCultivar ;01-10-16;Brice_o;  Cultivar  ; Cultivar ;; La Fortuna ; Flores ;;;;;;2;2;  ha  ;20.000;80.000;15.200;95.200;  Massai  ;63;63;
  Massai La FortunaMaÍzRastraje ; Brice_oLa FortunaMaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; MaÍz ;;;;;;1;0,5;  ha  ;20.000;10.000;1.900;11.900;  Massai  ;63;63;
  Massai La FortunaMaÍzAradura ; Brice_oLa FortunaMaÍzAradura ;01-10-16;Brice_o;  Cincel  ;Aradura;; La Fortuna ; MaÍz ;;;;;;2;0,5;  ha  ;24.500;24.500;4.655;29.155;  Massai  ;63;63;
  Massai La FortunaMaÍzRastraje ; Brice_oLa FortunaMaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; La Fortuna ; MaÍz ;;;;;;1;0,5;  ha  ;20.000;10.000;1.900;11.900;  Massai  ;63;63;
  Massai La FortunaMaÍzAplic. Herbicida ; Brice_oLa FortunaMaÍzAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; La Fortuna ; MaÍz ;;;;;;1;0,5;  ha  ;20.000;10.000;1.900;11.900;  Massai  ;63;63;
  Massai La FortunaMaÍzRotovator con melga ; Brice_oLa FortunaMaÍzRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; La Fortuna ; MaÍz ;;;;;;1;0,5;  ha  ;60.000;30.000;5.700;35.700;  Massai  ;63;63;
  Massai Casta_o 2SoyaOtros ; Brice_oCasta_o 2SoyaOtros ;01-10-16;Brice_o;  Trituradora  ; Otros ;; Casta_o 2 ; Soya ;;;;;;1;15;  hrs  ;16.000;240.000;45.600;285.600;  Massai  ;63;63;
  Massai Casta_o 2SoyaRastraje ; Brice_oCasta_o 2SoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 2 ; Soya ;;;;;;2;4,8;  ha  ;20.000;192.000;36.480;228.480;  Massai  ;63;63;
  Massai Casta_o 2SoyaAradura ; Brice_oCasta_o 2SoyaAradura ;01-10-16;Brice_o;  Arado   ;Aradura;; Casta_o 2 ; Soya ;;;;;;1;4,8;  HA  ;61.000;292.800;55.632;348.432;  Massai  ;63;63;
  Massai Casta_o 2SoyaRotovator sin melga ; Brice_oCasta_o 2SoyaRotovator sin melga ;01-10-16;Brice_o;  Rotovator  ;Rotovator sin melga;; Casta_o 2 ; Soya ;;;;;;1;4,8;  ha  ;45.000;216.000;41.040;257.040;  Massai  ;63;63;
  Massai Casta_o 2SoyaRastraje ; Brice_oCasta_o 2SoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 2 ; Soya ;;;;;;1;4,8;  ha  ;20.000;96.000;18.240;114.240;  Massai  ;63;63;
  Massai Casta_o 2SoyaAplic. Herbicida ; Brice_oCasta_o 2SoyaAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Casta_o 2 ; Soya ;;;;;;1;4,8;  ha  ;20.000;96.000;18.240;114.240;  Massai  ;63;63;
  Massai Casta_o 2SoyaRastraje ; Brice_oCasta_o 2SoyaRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 2 ; Soya ;;;;;;1;4,8;  ha  ;20.000;96.000;18.240;114.240;  Massai  ;63;63;
  Massai Casta_o 2SoyaRotovator con melga ; Brice_oCasta_o 2SoyaRotovator con melga ;01-10-16;Brice_o;  Rotovator c/melga  ;Rotovator con melga;; Casta_o 2 ; Soya ;;;;;;1;4,8;  ha  ;60.000;288.000;54.720;342.720;  Massai  ;63;63;
  Massai Casta_o 2MaÍzRastraje ; Brice_oCasta_o 2MaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 2 ; MaÍz ;;;;;;2;0,2;  ha  ;20.000;8.000;1.520;9.520;  Massai  ;63;63;
  Massai Casta_o 2MaÍzAradura ; Brice_oCasta_o 2MaÍzAradura ;01-10-16;Brice_o;  Cincel  ;Aradura;; Casta_o 2 ; MaÍz ;;;;;;2;0,2;  ha  ;24.500;9.800;1.862;11.662;  Massai  ;63;63;
  Massai Casta_o 2MaÍzRastraje ; Brice_oCasta_o 2MaÍzRastraje ;01-10-16;Brice_o;  Rastraje  ;Rastraje;; Casta_o 2 ; MaÍz ;;;;;;1;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;63;63;
  Massai Casta_o 2MaÍzAplic. Herbicida ; Brice_oCasta_o 2MaÍzAplic. Herbicida ;01-10-16;Brice_o;  Aplic. Herbicida  ; Aplic. Herbicida ;; Casta_o 2 ; MaÍz ;;;;;;1;0,2;  ha  ;20.000;4.000;760;4.760;  Massai  ;63;63;
