Bodega;PRODUCTO;CLASIFICACION;ING. ACTIVO;Fecha Ingreso;Cantidad;n¡ Guia;Saldo;Unid.;Fechas Salida;Cantidad;Saldo;Empresa;Lugar;Cultivo;Sector; N¡ Guia  ; Valor Unit ; $ salida ; $ stock ;X;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;3;lts;02-12-16;2;1;Valcam;Llay Llay;Tomate 17;;;6170;12340;6.170;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;19-12-16;19;;20;lts;19-12-16;5;15;Valcam;Catemu;Tomate;;;6170;30850;92.550;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;15;lts;21-12-16;1,2;13,8;Valcam;Allende;Aj’ 17;;;6170;7404;85.146;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;13,8;lts;22-12-16;3;10,8;Valcam;Llay Llay;Apio 17;;;6170;18510;66.636;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;10,8;lts;29-12-16;5;5,8;Valcam;Llay Llay;Tomate 17;;;6170;30850;35.786;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;5,8;lts;30-12-16;0,375;5,425;Valcam;Allende;Aj’ 17;;;6170;2313,75;33.472;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;5,425;lts;30-12-16;0,25;5,175;Valcam;San Jorge;Flores;;;6170;1542,5;31.930;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;5,175;lts;30-12-16;0,25;4,925;Valcam;Allende;Aj’ 17;;;6170;1542,5;30.387;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;4,925;lts;03-01-17;2,1;2,825;Valcam;Catemu;Tomate;;;6170;12957;17.430;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;2,825;lts;05-01-17;1,6;1,225;Valcam;Llay Llay;Tomate 17;;;6170;9872;7.558;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;19-01-17;5;;6,225;lts;20-01-17;3;3,225;Valcam;Catemu;Tomate;;;6170;18510;19.898;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;24-01-17;6;;9,225;lts;24-01-17;2;7,225;Valcam;Llay Llay;Tomate 17;;;6170;12340;44.578;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;7,225;lts;27-01-17;2;5,225;Valcam;Catemu;Colchina;;;6170;12340;32.238;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;5,225;lts;28-01-17;1;4,225;Valcam;Catemu;Brocoli;;;6170;6170;26.068;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;4,225;lts;01-02-17;1;3,225;Valcam;Llay Llay;Colchina 17;;;6170;6170;19.898;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;3,225;lts;04-02-17;2;1,225;Valcam;Catemu;Tomate;;;6170;12340;7.558;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;13-02-17;10;;11,225;lts;13-02-17;2;9,225;Valcam;Catemu;Colchina;;;6170;12340;56.918;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;9,225;lts;14-02-17;2;7,225;Valcam;Llay Llay;Colchina 17;;;6170;12340;44.578;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;7,225;lts;15-02-17;1;6,225;Valcam;Llay Llay;Tomate 17;;;6170;6170;38.408;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;6,225;lts;22-02-17;2;4,225;Valcam;Llay Llay;Tomate 17;;;6170;12340;26.068;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;4,225;lts;27-02-17;1;3,225;Valcam;Llay Llay;Apio 17;;;6170;6170;19.898;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;3,225;lts;03-03-17;0,75;2,475;Valcam;Catemu;Brocoli;;;6170;4627,5;15.271;;
San Jorge;Dash;Adherente, Coay. y HumeC.;hidrocarbono de petroleo;;;;2,475;lts;03-03-17;2,475;0;Valcam;Llay Llay;Colchina 17;;;6170;15270,75; - ;0;
San Jorge;Dagger;Fungicidas;iprodiona;02-09-16;1;;1;kg;28-09-17;1;0;Valcam;Llay Llay;Flores 18;;;;0; - ;0;
San Jorge;Dimetoato;Insecticidas;;;40;;;lts;02-07-16;20;20;Valcam Zamora;Allende;Apio 16;;;7137;142740;142.740;;
San Jorge;Dimetoato;Insecticidas;;;20;;;lts;22-07-16;8;12;Valcam Zamora;Allende;Apio 16;Saldo En bodega Zamora;;7137;57096;85.644;;
San Jorge;Dimetoato;Insecticidas;;;40;;;lts;30-08-16;20;20;Valcam Zamora;Allende;Apio 17;;;7137;142740;142.740;;
San Jorge;Dimetoato;Insecticidas;;;20;;20;lts;05-09-16;5;15;Pedro Henriquez;Llay Llay;Apio 17;;;7137;35685;107.055;;
San Jorge;Dimetoato;Insecticidas;;;;;15;lts;16-09-16;1;14;Valcam;San Jorge;Monarda;;;7137;7137;99.918;;
San Jorge;Dimetoato;Insecticidas;;;;;14;lts;01-10-16;1;13;Valcam;San Jorge;Monarda;;;7137;7137;92.781;;
San Jorge;Dimetoato;Insecticidas;;;;;13;lts;08-10-16;5;8;Pedro Henriquez;Llay Llay;Apio 17;;;2546;12730;20.368;;
San Jorge;Dimetoato;Insecticidas;;;;;8;lts;13-10-16;1;7;Rosario Fernandez;La Ligua;Flores;;;7137;7137;49.959;;
San Jorge;Dimetoato;Insecticidas;;;;;7;lts;13-10-16;1;6;Norfa Gomez;La Ligua;Flores;;;7137;7137;42.822;;
San Jorge;Dimetoato;Insecticidas;;;;;6;lts;29-11-16;0,8;5,2;Valcam;Allende;Flores;;;7137;5709,6;37.112;;
San Jorge;Dimetoato;Insecticidas;;;;;5,2;lts;29-11-16;0,3;4,9;Valcam;San Jorge;Flores;;;7137;2141,1;34.971;;
San Jorge;Dimetoato;Insecticidas;;;;;4,9;lts;29-11-16;2;2,9;Massai;La Fortuna;Flores;Prestamo M;;7137;14274;20.697;;
San Jorge;Dimetoato;Insecticidas;;;;;2,9;lts;27-02-16;2,9;0;Valcam;Allende;Maiz;;;7137;20697,3; - ;;
San Jorge;Dimetoato;Insecticidas;;18-01-17;180;;180;lts;27-02-17;1,5;178,5;Valcam;Allende;Maiz;;;7137;10705,5;1.273.955;;
San Jorge;Dimetoato;Insecticidas;;;;;178,5;lts;02-03-17;1;177,5;Rosario Fernandez;La Ligua;cosmos;;;7137;7137;1.266.818;;
San Jorge;Dimetoato;Insecticidas;;;;;177,5;lts;06-03-17;20;157,5;Valcam;Llay Llay;Apio 17;;;7137;142740;1.124.078;;
San Jorge;Dimetoato;Insecticidas;;24-03-17;60;;217,5;lts;25-04-17;5,5;212;Valcam ;Llay Llay;Apio 17;;;7137;39253,5;1.513.044;;
San Jorge;Dimetoato;Insecticidas;;;;;212;lts;25-04-17;10;202;Valcam ;Llay Llay;Apio 17;;;7137;71370;1.441.674;;
San Jorge;Dimetoato;Insecticidas;;;;;202;lts;26-04-17;1,5;200,5;Valcam;Collao;Apio 17;;;7137;10705,5;1.430.969;;
San Jorge;Dimetoato;Insecticidas;;;;;200,5;lts;25-04-17;17,5;183;Ventura ;Catemu;Apio 17;;;7137;124897,5;1.306.071;;
San Jorge;Dimetoato;Insecticidas;;;;;183;lts;27-04-17;2;181;Nelson Zamora;La Hornilla;Apio 17;;;7137;14274;1.291.797;;
San Jorge;Dimetoato;Insecticidas;;;;;181;lts;04-05-17;20;161;Valcam ;Llay Llay;Apio 17;;;7137;142740;1.149.057;;
San Jorge;Dimetoato;Insecticidas;;;;;161;lts;16-05-17;20;141;Ricardo Vasquez;Catemu;Apio 17;;;7137;142740;1.006.317;;
San Jorge;Dimetoato;Insecticidas;;;;;141;lts;16-05-17;20;121;Valcam;Llay Llay;Apio 17;;;7137;142740;863.577;;
San Jorge;Dimetoato;Insecticidas;;;;;121;lts;29-05-17;2,5;118,5;Zamora Valcam;Pocochay;Apio 17;;;7137;17842,5;845.735;;
San Jorge;Dimetoato;Insecticidas;;;;;118,5;lts;30-05-17;2,5;116;Zamora Valcam;Pocochay;Apio 17;;;7137;17842,5;827.892;;
San Jorge;Dimetoato;Insecticidas;;;;;116;lts;03-06-17;20;96;Valcam;Llay Llay;Apio 17;;;7137;142740;685.152;;
San Jorge;Dimetoato;Insecticidas;;;;;96;lts;09-06-17;20;76;Valcam;Llay Llay;Apio 17;;;7137;142740;542.412;;
San Jorge;Dimetoato;Insecticidas;;;;;76;lts;20-06-17;20;56;Valcam ;Llay Llay;Apio 17;;;7137;142740;399.672;;
San Jorge;Dimetoato;Insecticidas;;;;;56;lts;29-06-17;40;16;Valcam;Llay Llay;Apio 17;;;7137;285480;114.192;;
San Jorge;Dimetoato;Insecticidas;;;;;16;lts;30-06-17;16;0;Ricardo Vasquez;Catemu;Apio 17;;;7137;114192; - ;;
San Jorge;Dimetoato;Insecticidas;;20-07-17;20;;20;lts;21-07-17;20;0;valcam;Llay Llay;Apio 17;;;7137;142740; - ;;
San Jorge;Dimetoato;Insecticidas;;16-11-17;260;;260;lts;04-12-17;20;240;Juan Gonzalez;San Pedro;Apio 18;;353;7137;142740;1.712.880;;
San Jorge;Dimetoato;Insecticidas;;;;;240;lts;18-12-17;20;220;Rodrigo martinez;Llay Llay;Apio 18;;383;7137;142740;1.570.140;;se ocupo real 6 litros
San Jorge;Dimetoato;Insecticidas;;;;;220;lts;03-01-18;30;190;Luis Rodriguez;Llay Llay;Apio 18;;342;7137;214110;1.356.030;;
San Jorge;Dimetoato;Insecticidas;;;;;190;lts;03-01-18;4;186;Ventura ;Catemu 1;Apio 18;;343;7137;28548;1.327.482;;
San Jorge;Dimetoato;Insecticidas;;;;;186;lts;13-01-18;20;166;Orlando Araya ;Catemu;Apio 18;;669;7137;142740;1.184.742;;
San Jorge;Dimetoato;Insecticidas;;;;;166;lts;15-01-18;6;160;Valcam ;Llay Llay;Apio 18;;386;7137;42822;1.141.920;;
San Jorge;Dimetoato;Insecticidas;;;;;160;lts;16-01-18;20;140;Felipe Bustamente ;Romeral;Apio 18;;391;7137;142740;999.180;;
San Jorge;Dimetoato;Insecticidas;;;;;140;lts;19-01-18;20;120;Luis Rodriguez;Llay Llay;Apio 18;;674;7137;142740;856.440;;
San Jorge;Dimetoato;Insecticidas;;;;;120;lts;20-01-18;6;114;Juan Almonte ;Llay Llay;Apio 18;;723;7137;42822;813.618;;
San Jorge;Dimetoato;Insecticidas;;;;;114;lts;22-01-18;20;94;Marco Arangue;Raut_n;Apio 18;;678;7137;142740;670.878;;
San Jorge;Dimetoato;Insecticidas;;;;;94;lts;22-01-18;20;74;Jose Hurtado;Colina;Apio 18;;679;7137;142740;528.138;;
San Jorge;Dimetoato;Insecticidas;;;;;74;lts;22-01-18;20;0;Valcam ;Llay Llay;Aj’ 18;;684;7137;142740; - ;;
San Jorge;Dimetoato;Insecticidas;;;;;0;lts;26-01-18;20;-20;Calisario;Llay Llay;Apio 18;;694;7137;142740;-142.740;;
San Jorge;Dimetoato;Insecticidas;;30-01-18;40;cuadratura bodega ;20;lts;20-01-18;10;10;Agrolider;Llay Llay;Apio 18;;722;7137;71370;71.370;;
San Jorge;Dimetoato;Insecticidas;;;;;20;lts;02-01-18;20;0;Ventura ;Catemu;Apio 18;;605;7137;142740; - ;x;
San Jorge;Dual Gold;Herbicidas;;15-11-16;2;;2;lts;;;2;;;;;;40073;0;80.146;;
San Jorge;Dual Gold;Herbicidas;;16-11-16;6;;8;lts;17-11-16;2,5;5,5;Valcam;Allende;Maiz;;;40073;100182,5;220.402;;
San Jorge;Dual Gold;Herbicidas;;;;;5,5;lts;22-11-16;2,5;3;Valcam;Collao;Oenothera;;;40073;100182,5;120.219;;
San Jorge;Dual Gold;Herbicidas;;23-11-16;3;;3;lts;23-11-16;3;0;Valcam;Allende;Maiz;prestamo de Massai;;40073;120219; - ;;
San Jorge;Dual Gold;Herbicidas;;23-11-16;2;;2;lts;23-11-16;2;0;Valcam;Allende;Maiz;prestamo de Massai;;40073;80146; - ;;
San Jorge;Dual Gold;Herbicidas;;30-01-17;2;;2;lts;30-01-16;2;0;Juan Gonzalez;San Pedro;Apio 16;prestamo de Massai;;40073;80146; - ;;
San Jorge;Dual Gold;Herbicidas;;10-05-17;7;;7;lts;;;7;;DIA;;;;40073;0;280.511;;
San Jorge;Dual Gold;Herbicidas;;13-06-17;1;;8;lts;12-10-17;8;0;Nelson Zamora;Olmu_;Aj’ 17;;;40073;320584; - ;;
San Jorge;Dual Gold;Herbicidas;;23-10-17;12;;12;lts;23-10-17;4;8;Massai;Prestamo ;;;;35860;143440;286.880;;
San Jorge;Dual Gold;Herbicidas;;28-10-17;4;;12;lts;28-10-17;2,25;9,75;Valcam;Collao;Maiz;;;35860;80685;349.635;;
San Jorge;Dual Gold;Herbicidas;;;;;9,75;lts;01-11-17;2,5;7,25;Nelson Zamora;San Felipe;Maiz;;;35860;89650;259.985;;
San Jorge;Dual Gold;Herbicidas;;;;;7,25;lts;01-11-17;3,75;3,5;Valcam ;Pocochay;Maiz;;;35860;134475;125.510;;
San Jorge;Dual Gold;Herbicidas;;;;;3,5;lts;04-11-17;2,5;1;Nelson Zamora;Sta Olga;Maiz;;;35860;89650;35.860;;
San Jorge;Dual Gold;Herbicidas;;;;;1;lts;30-10-17;0,25;0,75;Massai;Prestamo ;;;;35860;8965;26.895;;
San Jorge;Dual Gold;Herbicidas;;07-11-17;8;;8,75;lts;;8;0,75;Valcam ;Llay Llay;Ma’z 18;;;36110;288880;27.083;;
San Jorge;Dual Gold;Herbicidas;;15-11-17;16;;16,75;lts;16-11-17;16;0,75;Nelson Zamora;Olmu_;Tomate;;;36655;586480;27.491;;
San Jorge;Dual Gold;Herbicidas;;16-11-17;329;;329,75;lts;20-11-17;5;324,75;Agric. Rayun;Rancagua;Apio 18;;283;36655;183275;11.903.711;;
San Jorge;Dual Gold;Herbicidas;;;;;324,75;lts;01-12-17;3;321,75;Orlando Araya ;Catemu;Apio 18;;303;36655;109965;11.793.746;;
San Jorge;Dual Gold;Herbicidas;;;;;321,75;lts;09-12-17;38;283,75;Luis Rodriguez;Llay Llay;Apio 18;;373;36655;1392890;10.400.856;;
San Jorge;Dual Gold;Herbicidas;;;;;283,75;lts;09-01-18;15;268,75;Calisario;Llay Llay;Apio 18;;660;36655;549825;9.851.031;;
San Jorge;Dual Gold;Herbicidas;;16-01-18;140;2257846;408,75;lts;;;408,75;;;;;;26979;0;11.027.666;;
San Jorge;Dual Gold;Herbicidas;;16-01-18;20;2257847;428,75;lts;;;428,75;;;;;;26979;0;11.567.246;;
San Jorge;Dual Gold;Herbicidas;;16-01-18;300;2257848;728,75;lts;;;728,75;;;;;;26979;0;19.660.946;;
San Jorge;Dual Gold;Herbicidas;;;;;728,75;lts;30-01-18;3,75;725;cuadratura bodega ;;P_rdida;;;26979;101171,25;19.559.775;;
San Jorge;Dual Gold;Herbicidas;;;;;725;lts;08-02-18;1;724;Valcam;Sta Olga;Flores;;615;26979;26979;19.532.796;;
San Jorge;Dual Gold;Herbicidas;;;;;724;lts;13-02-12;12;712;Calisario;Llay Llay;Apio 18;;626;26979;323748;19.209.048;;
San Jorge;Dual Gold;Herbicidas;;;;;712;lts;21-02-18;2;710;Victor Collao;La Calera;Apio 18;;641;26979;53958;19.155.090;;
San Jorge;Dual Gold;Herbicidas;;;;;710;lts;22-03-18;8;702;Calisario;Llay Llay;Apio 18;;742;26979;215832;18.939.258;;
San Jorge;Engeo;Insecticidas;;17-11-16;5;;5;lts;17-11-16;3;2;Valcam;Llay Llay;Tomate 17;;;72546;217638;145.092;;
San Jorge;Engeo;Insecticidas;;;;;2;lts;01-12-16;2;0;Valcam;Llay Llay;Tomate 17;;;72546;145092; - ;;
San Jorge;Engeo;Insecticidas;;21-12-16;6;;6;lts;22-12-16;3;3;Valcam;Llay Llay;Tomate 17;;;72546;217638;217.638;;
San Jorge;Engeo;Insecticidas;;03-01-17;2;;5;lts;03-01-17;5;0;Valcam;Catemu;Tomate;;;72546;362730; - ;;
San Jorge;Engeo;Insecticidas;;23-01-17;1;;1;lts;;1;0;Valcam;Llay Llay;;prestamo de Massai;;72546;72546; - ;;
San Jorge;Engeo;Insecticidas;;24-01-18;1;;1;lts;24-01-18;1;0;Valcam ;Llay Llay;Ma’z 18;;;68505;68505; - ;0;
San Jorge;Farmon;Herbicidas;;;5;;;lts;30-06-16;0,5;4,5;Valcam;;flores;;;10836;5418;48.762;;
San Jorge;Farmon;Herbicidas;;;4,5;;;lts;27-06-16;0,3;4,2;Massai;prestamo;flores;;;10836;3250,8;45.511;;
San Jorge;Farmon;Herbicidas;;;4,2;;;lts;28-08-17;4,2;0;Massai;Casta–o 1;coliflor;;;10836;45511,2; - ;;
San Jorge;Farmon;Herbicidas;;;5;;5;lts;02-05-17;5;0;Brice–o;Casa;;;;10836;54180; - ;;
San Jorge;Farmon;Herbicidas;;19-10-17;5;;5;lts;19-10-17;5;0;Brice–o;La Ligua;Flores;;;11013;55065; - ;0;
San Jorge;Fungiceb;Fungicidas;mancozeb;28-11-16;6;;;kg;03-01-17;6;0;Brice–o;Catemu;Tomate;;;5017;30102; - ;;
San Jorge;Fungiceb;Fungicidas;mancozeb;01-08-17;3;;3;kg;02-08-17;0,09;2,91;Brice–o;Collao;Flores;;;5017;451,53;14.599;;
San Jorge;Fungiceb;Fungicidas;mancozeb;;;;2,91;kg;09-08-17;0,09;2,82;Brice–o;Collao;Flores;;;5017;451,53;14.148;;
San Jorge;Fungizeb;Fungicidas;mancozeb;;;;2,82;kg;13-09-17;1;1,82;Brice–o;Pocochay;Flores;;;5017;5017;9.131;;
San Jorge;Fungizeb;Fungicidas;mancozeb;;;;1,82;kg;20-10-17;1,5;0,32;Brice–o;Collao;Marigold;;;5017;7525,5;1.605;;
San Jorge;Fungizeb;Fungicidas;mancozeb;25-10-17;125;;125,32;kg;25-10-17;25;100,32;Brice–o;Llay Llay;Tomate 18;;;5017;125425;503.305;;
San Jorge;Fungizeb;Fungicidas;mancozeb;;;;100,32;kg;13-11-17;25;75,32;Brice–o;Olmu_;Aj’ 17;;;5017;125425;377.880;;
San Jorge;Fungizeb;Fungicidas;mancozeb;;;;75,32;kg;22-11-17;25;50,32;Brice–o;Olmu_;Zapallo;;286;5017;125425;252.455;;
San Jorge;Fungizeb;Fungicidas;mancozeb;;;;50,32;kg;24-11-17;4;46,32;Brice–o;Collao;;;289;5017;20068;232.387;;
San Jorge;Fungizeb;Fungicidas;mancozeb;31-01-18;0,82;cuadratura bodega ;47,14;kg;;;47,14;Brice–o;;;;;;;;x;
San Jorge;Fast plus;;;07-02-18;4;746924;4;lts;;4;0;Brice–o;Olmu_;Apio 17;;616;;;;x;
San Jorge;Gladiador;Insecticidas;;24-03-17;1,75;;;kg;02-05-17;1,75;0;Brice–o;Llay Llay;Apio 17;;;;0; - ;0;
San Jorge;GOAL;Herbicidas;;;16;;16;lts;16-05-17;8;8;Brice–o;Catemu;Apio 17;;;13110;104880;104.880;;
San Jorge;GOAL;Herbicidas;;16-11-17;194;;202;lts;04-12-17;6;196;Brice–o;Catemu;Apio 18;;354;10616;63696;2.080.736;;
San Jorge;GOAL;Herbicidas;;;;;196;lts;05-12-17;6;190;Brice–o;Llay Llay;Colchina 18;;356;10616;63696;2.017.040;;
San Jorge;GOAL;Herbicidas;;;;;190;lts;06-12-17;6;184;Brice–o;Olmu_;Apio 18;;360;10616;63696;1.953.344;;
San Jorge;GOAL;Herbicidas;;;;;184;lts;06-12-17;5;179;Brice–o;Llay Llay;Apio 18;;361;10616;53080;1.900.264;;
San Jorge;GOAL;Herbicidas;;;;;179;lts;09-12-17;15;164;Brice–o;Llay Llay;Apio 18;;373;10616;159240;1.741.024;;
San Jorge;GOAL;Herbicidas;;;;;164;lts;16-12-17;6;158;Brice–o;Llay Llay;Apio 18;;374;10616;63696;1.677.328;;
San Jorge;GOAL;Herbicidas;;;;;158;lts;21-12-17;6;152;Brice–o;Llay Llay;Apio 18;;318;10616;63696;1.613.632;;
San Jorge;GOAL;Herbicidas;;;;;152;lts;21-12-17;14;138;Brice–o;Llay Llay;Apio 18;;327;10616;148624;1.465.008;;
San Jorge;GOAL;Herbicidas;;;;;138;lts;29-12-17;4;134;Brice–o;Catemu;Apio 18;;317;10616;42464;1.422.544;;
San Jorge;GOAL;Herbicidas;;;;;134;lts;02-01-18;2;132;Brice–o;Raut_n;Apio 18;;337;10616;21232;1.401.312;;
San Jorge;GOAL;Herbicidas;;;;;132;lts;02-01-18;1,5;130,5;Brice–o;Poncho Celeste;Apio 18;;338;10616;15924;1.385.388;;
San Jorge;GOAL;Herbicidas;;;;;130,5;lts;03-01-18;20;110,5;Brice–o;Colina;Apio 18;;652;10616;212320;1.173.068;;
San Jorge;GOAL;Herbicidas;;;;;110,5;lts;04-01-18;3;107,5;Brice–o;Romeral;Apio 18;;655;10616;31848;1.141.220;;
San Jorge;GOAL;Herbicidas;;;;;107,5;lts;09-01-18;6;101,5;Brice–o;Llay Llay;Apio 18;;660;10616;63696;1.077.524;;
San Jorge;GOAL;Herbicidas;;;;;101,5;lts;23-01-18;2;99,5;Brice–o;;Apio 18;;683;10616;21232;1.056.292;;
San Jorge;GOAL;Herbicidas;;;;;99,5;lts;23-01-18;5;94,5;Brice–o;Catemu;Apio 18;;685;10616;53080;1.003.212;;
San Jorge;GOAL;Herbicidas;;30-01-18;12,5;cuadratura bodega ;107;lts;;;107;Brice–o;;;;;;0; - ;;
San Jorge;GOAL;Herbicidas;;;;;107;lts;03-02-18;8;99;Brice–o;Catemu;Apio 18;;606;10616;84928;1.050.984;;
San Jorge;GOAL;Herbicidas;;;;;99;lts;09-02-18;12;87;Brice–o;Llay Llay;Apio 18;;619;10616;127392;923.592;;
San Jorge;GOAL;Herbicidas;;;;;87;lts;14-02-18;10;77;Brice–o;Catemu;Apio 18;;628;10616;106160;817.432;;
San Jorge;GOAL;Herbicidas;;;;;77;lts;17-02-18;6;71;Brice–o;Llay Llay;Apio 18;;634;10616;63696;753.736;;
San Jorge;GOAL;Herbicidas;;;;;71;lts;21-02-18;2;69;Brice–o;La Calera;Apio 18;;641;10616;21232;732.504;;
San Jorge;GOAL;Herbicidas;;;;;69;lts;21-02-18;2;67;Brice–o;Catemu;Apio 18;;642;10616;21232;711.272;;
San Jorge;GOAL;Herbicidas;;07-03-18;128;2380303;195;lts;27-02-18;5;190;Brice–o;Llay Llay;Apio 18;;649;10616;53080;2.017.040;;
San Jorge;GOAL;Herbicidas;;;;;190;lts;02-03-18;8;182;Brice–o;Llay Llay;Apio 18;;702;10616;84928;1.932.112;;
San Jorge;GOAL;Herbicidas;;;;;182;lts;02-03-18;7;175;Brice–o;Catemu;Apio 18;;703;10616;74312;1.857.800;;
San Jorge;GOAL;Herbicidas;;;;;175;lts;06-03-18;5;170;Brice–o;Romeral;Apio 18;;707;10616;53080;1.804.720;;
San Jorge;GOAL;Herbicidas;;;;;170;lts;06-03-18;9;161;Brice–o;Chagre;Apio 18;;709;10616;95544;1.709.176;;
San Jorge;GOAL;Herbicidas;;;;;161;lts;13-03-18;1,5;159,5;Brice–o;Collao;Apio 18;;727;10616;15924;1.693.252;;
San Jorge;GOAL;Herbicidas;;;;;159,5;lts;14-03-18;2;157,5;Brice–o;Raut_n;Apio 18;;734;10616;21232;1.672.020;;
San Jorge;GOAL;Herbicidas;;;;;157,5;lts;19-03-18;11;146,5;Brice–o;Llay Llay;Apio 18;;739;10616;116776;1.555.244;X;
San Jorge;Greko ;;;19-12-17;250;179884-179888-179900-179904;250;kg;31-01-18;10;240;Brice–o;;;;;;;;x;
San Jorge;Gramoxone;Herbicidas;;08-10-16;5;;5;lts;11-10-16;2;3;Brice–o;San Jorge;Monarda;;;11190;22380;33.570;;
San Jorge;Gramoxone;Herbicidas;;;;;3;lts;13-10-16;1;2;Brice–o;La Ligua;Flores;;;11190;11190;22.380;;
San Jorge;Gramoxone;Herbicidas;;;;;2;lts;13-10-16;1;1;Brice–o;La Ligua;Flores;;;11190;11190;11.190;;
San Jorge;Gramoxone;Herbicidas;;19-10-16;10;;11;lts;19-10-16;1;10;Brice–o;San Jorge;Monarda;;;11190;11190;111.900;;
San Jorge;Gramoxone;Herbicidas;;;;;10;lts;20-10-16;1,4;8,6;Brice–o;San Jorge;Monarda;;;11190;15666;96.234;;
San Jorge;Gramoxone;Herbicidas;;;;;8,6;lts;04-11-16;0,6;8;Brice–o;Prestamo;Opna;;;11190;6714;89.520;;
San Jorge;Gramoxone;Herbicidas;;;;;8;lts;07-11-16;0,62;7,38;Brice–o;San Jorge;Flores;;;11190;6937,8;82.582;;
San Jorge;Gramoxone;Herbicidas;;;;;7,38;lts;08-11-16;0,6;6,78;Brice–o;San Jorge;Flores;;;11190;6714;75.868;;
San Jorge;Gramoxone;Herbicidas;;;;;6,78;lts;09-11-16;0,38;6,4;Brice–o;San Jorge;Flores;;;11190;4252,2;71.616;;
San Jorge;Gramoxone;Herbicidas;;;;;6,4;lts;10-11-16;0,6;5,8;Brice–o;San Jorge;Flores;;;11190;6714;64.902;;
San Jorge;Gramoxone;Herbicidas;;;;;5,8;lts;23-11-16;0,8;5;Brice–o;San Jorge;Salvia;Prestamo;;11190;8952;55.950;;
San Jorge;Gramoxone;Herbicidas;;;;;5;lts;26-11-16;5;0;Brice–o;La Fortuna;Flores;Prestamo;;11190;55950; - ;;
San Jorge;Gramoxone;Herbicidas;;01-07-17;5;;5;lts;03-07-17;5;0;Brice–o;Llay Llay;Flores 18;;;11190;55950; - ;;
San Jorge;Gramoxone;Herbicidas;;;;;0;lts;05-10-17;0,75;-0,75;Brice–o;Pocochay;Flores;;;11190;8392,5;-8.393;;
San Jorge;Gramoxone;Herbicidas;;02-10-17;5;;4,25;lts;03-10-17;0,45;3,8;Brice–o;Pocochay;Chinasea;;;11190;5035,5;42.522;;
San Jorge;Gramoxone;Herbicidas;;13-10-17;5;;8,8;lts;13-10-17;5;3,8;Brice–o;Olmu_;Zapallo;;;8180;40900;31.084;;
San Jorge;Gramoxone;Herbicidas;;;;;3,8;lts;20-10-17;0,15;3,65;Brice–o;Collao;Celosia;;;8180;1227;29.857;;
San Jorge;Gramoxone;Herbicidas;;;;;3,65;lts;23-10-17;0,5;3,15;Brice–o;Collao;Bellis;;;8180;4090;25.767;;
San Jorge;Gramoxone;Herbicidas;;;;;3,15;lts;10-11-17;0,5;2,65;Brice–o;Collao;Flores;;;8180;4090;21.677;;
San Jorge;Gramoxone;Herbicidas;;;;;2,65;lts;30-01-18;2,65;0;Brice–o;;;;;;;;0;
San Jorge;Gesatop;Herbicidas;;29-07-16;5;;5;kg;02-08-16;0,5;4,5;Brice–o;San Jorge;Flores;;;8064;4032;36.288;;
San Jorge;Gesatop;Herbicidas;;;;;4,5;kg;26-09-16;3;1,5;Brice–o;San Pedro;Kale;;;8064;24192;12.096;;
San Jorge;Gesatop;Herbicidas;;;;;1,5;kg;07-10-16;1,5;0;Brice–o;Allende;Kale;;;8064;12096; - ;;
San Jorge;Gesatop;Herbicidas;;17-10-16;5;;;kg;;;5;Brice–o;;;;;8064;0;40.320;X;
