Fecha ;Nç;T.DOC.;Proveedor;Item;ClasificaciÜn Gastos;Lugar;Cultivo/Unidad;ClasificaciÜn Cultivo; Nç ; Cantidad ; Unit. ; Neto ; IVA ; IEF ; IEV/FEP ; Total ; Empresa ; REAL ; Estado 1 ; Comp /cheque ;Fecha ;Monto
02-05-17;597152;Guia ;Vitra;Mezcla 172020;Bodega;LLay llay;Apio 17;Apio 17;;15;236.000;3.540.000;672.600;;;4.212.600;tattersall;Valcam;;;;
02-05-17;3502;Fact;Rapall;Bateria;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;71.429;71.429;13.572;;;85.001;brice_o;Brice_o;Pagada;;;
02-05-17;167;Fact;Casa del perno;pernos;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;15.000;15.000;2.850;;;17.850;brice_o;Brice_o;Pagada;;;
02-05-17;1701;Fact;Bertero;Cambio de camara;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;37.815;37.815;7.185;;;45.000;brice_o;Brice_o;Pagada;;;
03-05-17;2041859;Guia ;Copeval;mz maiz;Bodega;San Jorge;Bodega;Bodega;;1,4;268.000;375.200;71.288;;;446.488;zamora;Valcam;;;;
03-05-17;7069;Fact;Agrodistribuidores Ltda ;Plantulas;Semillas, plantas;San Jorge;Lechuga;Lechuga 17;;10.000;12;119.000;22.610;;;141.610;brice_o;Brice_o;Pagada;;;
04-05-17;2880245;Fact;Copeval;Rastop;Bodega;Quillota;Bodega;Bodega;;1;6.800;6.800;1.292;;;8.092;brice_o;Brice_o;;;;
04-05-17;10186;Fact;Agroalmar;Codo Pegameto;Materiales de Riego;San Jorge;Apio 17;Apio 17;;1;6.178;6.178;1.174;;;7.352;Massai;Massai;Pagada;;;
06-05-17;42714;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;139.182;10;1.391.820;264.446;;;1.656.266;Diana;Valcam;BRICE O;;;
06-05-17;10257;Fact;Agroalmar;Llave codo te bujecopla;Bodega;San Jorge;Bodega;Bodega;;1;41.428;41.428;7.871;;;49.299;brice_o;Brice_o;Pagada;;;
08-05-17;42727;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Tax ;245.376;10;;;;;;Diana;Massai;;;;
08-05-17;8038;Guêa ;Europlant;Plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;180.196;10;1.801.960;342.372;;;2.144.332;Invertec;Valcam;;;;
08-05-17;8037;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;180.196;10;1.801.960;342.372;;;2.144.332;Invertec;Valcam;;;;
08-05-17;8055;Guêa ;Europlant;Plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;180.127;10;1.801.270;342.241;;;2.143.511;Invertec;Valcam;;;;
08-05-17;132;Fact;aquasystems;Cinta de riego;Materiales de Riego;LLay llay;Tomate ;Tomate 18 ;;27.000;34;918.000;174.420;;;1.092.420;zamora;Valcam;PAGADA;;;
09-05-17;2941571;Fact;Sergo chile;Arco cincel;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;29.370;29.370;5.580;;;34.950;brice_o;Brice_o;Pagada;;;
09-05-17;2880303;Fact;Copeval;Herbadox goal;Bodega;San Jorge;Bodega;Bodega;;20;13.750;275.000;52.250;;;327.250;Gonzalez;Valcam;Pagada;;;
10-05-17;2880328;Fact;Copeval;Herbadox goal;Bodega;San Jorge;Bodega;Bodega;;1;679.650;679.650;129.134;;;808.784;Gonzalez;Valcam;Pagada;;;
10-05-17;28;Fact;Agric. Rodrigo Martinez EIRL;Acelga;Comercializadora;Pocochay;acelga 17;Acelga 17;;328.560;70;22.999.200;4.369.848;;;27.369.048;Valcam;Valcam;;;;
11-05-17;1182;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;;Maquinaria;Maquinaria; g5855 ;974;336;327.147;62.158;;69.451;458.756;brice_o;Brice_o;PAGADA;;;
11-05-17;2880341;Fact;Copeval;Botas;Bodega;San Jorge;Bodega;Bodega;;1;23.000;23.000;4.370;;;27.370;Gonzalez;Valcam;pagada ;;17-08-17;
11-05-17;11;Fact;Carlos Silva;Fletes;Traslados/Fletes;San Jorge;Aji 17;Ajê 17;;12;235.000;2.820.000;535.800;;;3.355.800;brice_o;Valcam;Pagada;;;
12-05-17;1193;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;;Maquinaria;Maquinaria; g5814 ;985;340;334.752;63.603;;75.427;473.782;brice_o;Brice_o;PAGADA;;;
12-05-17;237162;Guia ;Cals;Nitrato de Amonio;Bodega;San Jorge;Bodega;Bodega;;4.800;411;1.972.800;374.832;;;2.347.632;Gonzalez ;Valcam;;;;
12-05-17;571427;Fact;Cals;Nitrato de Amonio;Bodega;San Jorge;Bodega;Bodega;;4.800;411;1.972.800;374.832;;;2.347.632;Gonzalez ;Valcam;PAGADA;;;
13-05-17;1184;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;;Maquinaria;Maquinaria; g5825 ;880;331;291.676;55.418;;67.387;414.481;brice_o;Brice_o;PAGADA;;;
13-05-17;154;Fact;Gilberto Cabrera Pimentel;Lavado;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;14.538;14.538;2.762;;;17.300;brice_o;Brice_o;;;;
15-05-17;2421;Guia ;protein corp;Protectox;Bodega;San Jorge;Bodega;Bodega;;20;6.936;138.720;26.357;;;165.077;Valcam;Valcam;;;;
15-05-17;8054;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;180.196;10;1.801.960;342.372;;;2.144.332;Invertec;Valcam;;;;
16-05-17;7262;Fact;Ricardo Bahamondez;Toner;Artêculos de oficina;San Jorge;Maquinaria;Maquinaria;;1;11.681;11.681;2.219;;;13.900;brice_o;Brice_o;Pagada;;;
17-05-17;598892;Fact;Disal;Arriendo Ba_o;Ba_o Quêmico;LLay llay;AdministraciÜn;AdministraciÜn;;1;75.000;75.000;14.250;;;89.250;zamora;Valcam;;;;
17-05-17;2880426;Fact;Copeval;Amintec;Bodega;San Jorge;Bodega;Bodega;;6,5;295.000;1.917.500;364.325;;;2.281.825;Gonzalez;Valcam;;;;
18-05-17;3697;Fact;Rapall;Rep Motor Partida Tractor;MantenciÜn/ReparaciÜn;Quillota;Maquinaria;Maquinaria;;1;142.899;142.899;27.151;;;170.050;brice_o;Brice_o;;;;
18-05-17;1044;Fact;protein corp;Protectox;Bodega;San Pedro;Bodega;Bodega;;100;6.936;693.600;131.784;;;825.384;Valcam;Valcam;pendiente;;20-09-16;
18-05-17;8064;Guêa ;Europlant;Plantulas;Semillas, plantas;;Apio 17;Apio 17; Conga ;180.321;10;1.803.210;342.610;;;2.145.820;Invertec;Valcam;;;;
18-05-17;2683;Fact;Cristobal covarrubias inversiones ;Diesel;Combustible y Lubricantes;;Maquinaria;Maquinaria;;1;7.066;7.066;1.342;;1.592;10.000;brice_o;Brice_o;;;;
19-05-17;2944959;Fact;Sergo chile;Bomba Engrase;Repuestos;Quillota;Maquinaria;Maquinaria;;1;73.933;73.933;14.047;;;87.980;brice_o;Juan Gonzalez ;;;;
19-05-17;696;Fact;Diana Naturals;Plantulas;Semillas, plantas;San Jorge;Colchina;Colchina 18;;199.177;18;3.485.598;662.264;;;4.147.861;Valcam;Valcam;Pagada;;;
20-05-17;2709;Fact;Cristobal covarrubias inversiones ;Diesel;Combustible y Lubricantes;;Maquinaria;Maquinaria;;1;3.542;3.542;673;;786;5.001;brice_o;Brice_o;;;;
22-05-17;19;Fact;Gonzalo Ganzalez;Apio;Comercializadora;San Pedro;Apio 17;Apio 17;;2.644;50;132.200;25.118;;;157.318;Valcam;Valcam;;;;
22-05-17;8068;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;45.619;10;456.190;86.676;;;542.866;Invertec;;;;;
23-05-17;8069;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;180.140;10;1.801.400;342.266;;;2.143.666;Invertec;Valcam;;;;
23-05-17;8070;Guêa ;Europlant;Plantulas;Semillas, plantas;Catemu;Apio 17;Apio 17; Conga ;180.196;10;1.801.960;342.372;;;2.144.332;Invertec;Valcam;;;;
23-05-17;511806;Fact;cals;Defender hierro/neres;Bodega;Bodega;soya;Bodega;;1;238.760;238.760;45.364;;;284.124;Gonzalez ;massai;PAGADA;;;
23-05-17;511809;Fact;Cals;Nitrato de MG;Bodega;San Jorge;SOYA;Bodega;;500;320;160.000;30.400;;;190.400;Gonzalez ;massai;PAGADA;;;
24-05-17;1273;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; G5961 ;1.000;323;323.040;61.378;;75.587;460.005;brice_o;Brice_o;PAGADA;;;
24-05-17;4;Fact;Sergio Guzman;Rep. Motobomba;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria ;Maquinaria;;1;60.000;60.000;11.400;;;71.400;Massai;Massai;Pagada;;;
24-05-17;512668;Fact;Cals;Dash/mtd/belt;Bodega;San Jorge;Bodega;Bodega;;1;629.330;629.330;119.573;;;748.903;Gonzalez ;Valcam;PAGADA;;;
25-05-17;42760;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Tax ;196.992;10;1.969.920;374.285;;;2.344.205;Diana;Massai;;;;
25-05-17;8079;Guêa ;Europlant;Plantulas;Semillas, plantas;LLay llay;Apio 17;Apio 17; Conga ;250.145;10;2.501.450;475.276;;;2.976.726;Invertec;Valcam;;;;
29-05-17;20996;Fact;Cartoni;Mantencon cta;MantenciÜn/ReparaciÜn;Quillota;Maquinaria;Maquinaria;;1;294.872;294.872;56.026;;;350.898;Valcam;Valcam;;;;
29-05-17;20995;Fact;Cartoni;Mantencon cta;MantenciÜn/ReparaciÜn;Quillota;Maquinaria;Maquinaria;;1;22.000;22.000;4.180;;;26.180;Valcam;Valcam;;;;
30-05-17;10115;Guêa ;Semilla de Los Andes;Plantulas;Semillas, plantas;LLay llay;Monarda;Flores 18; mn01 ;17.617;;;;;;;Valcam;Valcam;;;;
31-05-17;1376;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; G6067 ;1.000;332;331.610;63.006;;66.380;460.996;brice_o;Brice_o;PAGADA;;;
31-05-17;2509;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;62.252;62.252;11.828;;;74.080;brice_o;Brice_o;;;;
31-05-17;2510;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;243.866;243.866;46.335;;;290.201;brice_o;Brice_o;;;;
31-05-17;2511;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;61.294;61.294;11.646;;;72.940;brice_o;Brice_o;;;;
31-05-17;2512;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;178.412;178.412;33.898;;;212.310;brice_o;Brice_o;;;;
31-05-17;2513;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;176.714;176.714;33.576;;;210.290;brice_o;Brice_o;;;;
31-05-17;2516;Fact;Maderas Central;Materiales;Materiales;San Jorge;casa;Casa;;1;110.857;110.857;21.063;;;131.920;brice_o;Brice_o;;;;
31-05-17;406;Fact;INVERTEC;Varios PRODUCTOS;Bodega;San Jorge;Apio 17;Bodega;;1;23.349.603;23.349.603;4.436.425;;;27.786.028;Gonzalez ;Valcam;pagada;;;
31-05-17;411;Fact;INVERTEC;Varios PRODUCTOS;Bodega;San Jorge;Apio 17;Bodega;;1;73.047.676;73.047.676;13.879.058;;;86.926.734;Valcam;Valcam;pagada;;;
31-05-17;413;Fact;INVERTEC;Varios PRODUCTOS;Bodega;San Jorge;Apio 17;Bodega;;1;15.174.530;15.174.530;2.883.161;;;18.057.691;zamora;Valcam;pagada;;;
31-05-17;2880637;Fact;Copeval;Overol/respirad/Filtro/bota/guant;Materiales;San Jorge;Maquinaria;Maquinaria;;1;161.600;161.600;30.704;;;192.304;zamora;Brice_o;pagada;;18-08-17;
31-05-17;28487;Fact;Com. Rosati;Aceites;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;482.650;482.650;91.704;;;574.354;brice_o;Brice_o;pagada;;;
31-05-17;28479;Fact;Com. Rosati;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;171.229;171.229;32.534;;36.051;239.814;brice_o;Brice_o;pagada;;;
31-05-17;28486;Fact;Com. Rosati;Aceites;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;431.677;431.677;82.019;;;513.696;brice_o;Brice_o;pagada;;;
31-05-17;28478;Fact;Com. Rosati;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;274.526;274.526;52.160;;53.654;380.340;CSILVA;CSILVA;pagada;;;
31-05-17;28475;Fact;Com. Rosati;Aceites;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1;48.571;48.571;9.228;;;57.799;brice_o;Brice_o;pagada;;;
31-05-17;17;Fact;Carlos Navarro;Plantulas;Semillas, plantas;LLay llay;Oenothera;Flores 18;;1;730.000;730.000;138.700;;;868.700;Nahuen ;Valcam;;;;
02-06-17;4882;Fact;Librerêa Ohiggins;Sobres;Artêculos de oficina;San Jorge;AdministraciÜn;AdministraciÜn;;10;1.513;15.126;2.874;;;18.000;brice_o;Brice_o;Pagada;;;
02-06-17;2079141;Guia ;Copeval;Amintec;Bodega;Allende;Bodega;Bodega;;0,5;295.000;147.500;28.025;;;175.525;Gonzalez;Valcam;;;;
03-06-17;34095;Fact;Mi valle;Union  1/2;Materiales de Riego;San Jorge;Apio 17;Apio 17;;200;117;23.400;4.446;;;27.846;Massai;Massai;Pagada;;;
03-06-17;1863;Fact;Bertero;Reparaciones Varias;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;54.622;54.622;10.378;;;65.000;brice_o;Brice_o;pagada;;;
05-06-17;34176;Fact;Mi valle;Conectores;Materiales de Riego;San Jorge;Apio 17;Apio 17;;113;79;8.927;1.696;;;10.623;Massai;Massai;Pagada;;;
05-06-17;2880718;Fact;Copeval;Herbadox;Bodega;San Jorge;Bodega;Bodega;;20;11.980;239.600;45.524;;;285.124;zamora;Valcam;Pagada;;18-08-17;
05-06-17;2880715;Fact;Copeval;Pirimor/basfoliar;Bodega;San Jorge;Bodega;Bodega;;1;196.500;196.500;37.335;;;233.835;zamora;Valcam;Pagada;;18-08-17;
05-06-17;2087419;Guia ;Copeval;Rastra aradora;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;5.587.656;5.587.656;1.061.655;;;6.649.310;brice_o;Brice_o;;;;
05-06-17;10914;Fact;Agroalmar;Conectores;Materiales de Riego;San Jorge;Apio 17;Apio 17;;1.000;79;79.000;15.010;;;94.010;Massai;Massai;Pagada;;;
06-06-17;8105;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;233.833;10;2.338.330;444.283;;;2.782.613;Invertec;Valcam;;;;
06-06-17;2880726;Fact;Copeval;Linurex/Basfoliar/Break;Bodega;San Jorge;Bodega;Bodega;;1;947.014;947.014;179.933;;;1.126.947;Massai;Massai;pagada;;;
06-06-17;2880725;Fact;Copeval;nu slow 28;Bodega;San Jorge;Bodega;Bodega;;60;4.000;239.998;45.600;;;285.597;Massai;Massai;pagada;;;
06-06-17;2880735;Fact;Copeval;Bravo;Bodega;San Jorge;Bodega;Bodega;;150;7.291;1.093.635;207.791;;;1.301.426;Massai;Massai;pagada;;;
06-06-17;2880734;Fact;Copeval;Nitrato de CALCIO;Bodega;San Jorge;Bodega;Bodega;;2;265.000;530.000;100.700;;;630.700;Massai;Massai;pagada;;;
06-06-17;2079154;Guia ;Copeval;Amintec;Bodega;Allende;Bodega;Bodega;;0,5;295.000;147.500;28.025;;;175.525;Gonzalez;Valcam;;;;
07-06-17;10123;Guêa ;Semilla de Los Andes;Plantulas;Semillas, plantas;LLay llay;Monarda;Flores 18; md01b ;1.040;;;;;;;Valcam;Valcam;;;;
07-06-17;2047350;Guia ;Copeval;Basfoliar/break;Bodega;San Jorge;Bodega;Bodega;;1;512.452;512.452;97.366;;;609.818;Massai;Massai;;;;
07-06-17;2047351;Guia ;Copeval;nu slow 28;Bodega;San Jorge;Bodega;Bodega;;60;4.000;239.998;45.600;;;285.597;Massai;Massai;;;;
07-06-17;2047348;Guia ;Copeval;Bravo;Bodega;San Jorge;Bodega;Bodega;;50;7.291;364.545;69.264;;;433.809;Massai;Massai;;;;
07-06-17;2047349;Guia ;Copeval;Nitrato de CALCIO;Bodega;San Jorge;Bodega;Bodega;;2;265.000;530.000;100.700;;;630.700;Massai;Massai;;;;
08-06-17;1408;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; g6094 ;1.004;336;337.344;64.095;;66.646;468.085;brice_o;Brice_o;PAGADA;;;
08-06-17;1403;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; g6105 ;563;345;194.235;36.905;;37.372;268.512;brice_o;Brice_o;PAGADA;;;
08-06-17;10265;Fact;Retrac;PRENSA/VOANTE/DISCO/ACOPLE/ROD/EJE/;Repuestos;Quillota;Maquinaria;Maquinaria;;1;868.953;868.953;165.101;;;1.034.054;brice_o;Brice_o;;;;
08-06-17;8126;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;155.027;10;1.550.270;294.551;;;1.844.821;Invertec;Valcam;;;;
09-06-17;104281;ND;Copeval;INTERES MAYOR PLAZO;Bodega;Quillota;Bodega;Bodega;;1;59.592;59.592;11.322;;;70.914;Gonzalez;Valcam;;;;
12-06-17;2952879;Fact;Sergo chile;azada cultivadora;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;43.035;43.035;8.177;;;51.212;brice_o;Brice_o;pagada;;;
12-06-17;134277;Guia ;Massai;Herbadox goal;Bodega;San Jorge;Bodega;Bodega;;42;;;;;;;Massai;Massai;;;;
12-06-17;2047407;Guia ;Copeval;Linurex/basfoliar.;Bodega;San Jorge;Bodega;Bodega;;1;614.496;614.496;116.754;;;731.250;Massai;Massai;;;;
12-06-17;2880843;Fact;Copeval;MZ MAIZ;Bodega;San Jorge;Bodega;Bodega;;4,5;262.000;1.179.000;224.010;;;1.403.010;Massai;Massai;pagada;;;
12-06-17;2079192;Guia ;Copeval;MZ MAIZ;Bodega;San Jorge;Bodega;Bodega;;1,25;262.000;327.500;62.225;;;389.725;Massai;Massai;;;;
12-06-17;2079191;Guia ;Copeval;mz maiz;Bodega;San Jorge;Bodega;Bodega;;1,25;262.000;327.500;62.225;;;389.725;Massai;Massai;;;;
12-06-17;6991185;Guia ;Anagra;Nitrato amonio ureica;Bodega;San Jorge;Apio 17;Apio 17;;23,76;181.320;4.308.163;818.551;;;5.126.714;Massai;Massai;;;;
13-06-17;2047429;Guia ;Copeval;Amintec;Bodega;Allende;Apio 17;Apio 17;;1;295.000;147.500;28.025;;;175.525;Gonzalez;Juan Gonzalez ;;;;
13-06-17;244708;Guia ;Cals;Mezcla 172020;Bodega;San Jorge;Bodega;Bodega;;5.000;255;1.275.000;242.250;;;1.517.250;zamora;Nelson Zamora;;;;
13-06-17;588930;Fact;Cals;Mezcla 172020;Bodega;San Jorge;Bodega;Bodega;;5.000;255;1.275.000;242.250;;;1.517.250;zamora;Valcam;PAGADA;;;
13-06-17;11103;Fact;Agroalmar;Conector;Materiales de Riego;San Jorge;Apio 17;Apio 17;;1.000;79;79.000;15.010;;;94.010;Massai;Massai;pagada;;;
13-06-17;17784;Guêa ;Agrinset ltda;Plantulas;Semillas, plantas;San Jorge;Brocoli;BrÜcoli 17;;3.040;18;54.720;10.397;;;65.117;Massai;Massai;;;;
14-06-17;135300;NC;Copeval;Bravo;Bodega;San Jorge;Bodega;Bodega;;100;7.218;721.787;137.140;;;858.927;Massai;Massai;;;;
14-06-17;2880892;Fact;Copeval;Bravo;Bodega;San Jorge;Bodega;Bodega;;100;7.218;721.787;137.140;;;858.927;Massai;Massai;pagada;;;
14-06-17;7296;Fact;Agrodistribuidores Ltda ;trainer;Bodega;San Jorge;Bodega;Bodega;;3;130.000;390.000;74.100;;;464.100;Massai;Massai;pagada;;;
15-06-17;2047461;Guia ;Copeval;Bravo;Bodega;San Jorge;Bodega;Bodega;;100;7.218;721.787;137.140;;;858.927;Massai;Massai;;;;
16-06-17;4117;Fact;Rapall;Ampolleta;Repuestos;Quillota;Maquinaria;Maquinaria;;1;12.605;12.605;2.395;;;15.000;brice_o;Brice_o;;;;
17-06-17;2880926;Fact;Copeval;previcur;Bodega;San Jorge;Bodega;Bodega;;1;42.000;42.000;7.980;;;49.980;Gonzalez;Carlos Navarro;pagada;;;
20-06-17;11248;Fact;Agroalmar;Conectores;Materiales de Riego;San Jorge;Apio 17;Apio 17;;1.000;79;79.000;15.010;;;94.010;Massai;Massai;pagada;;;
20-06-17;1493;Guêa ;Agric. Marzan;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17;;48.600;5;243.000;46.170;;;289.170;Marzan;Collao;;;;
21-06-17;130;Fact;Soc.Agric Segundo y Severino Calizario ltda;Petit Vert;Comercializadora;LLay llay;petitvert;petitvert 17;;271.495;95;25.792.025;4.900.485;;;30.692.510;Valcam;Valcam;;;;
21-06-17;1496;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; g6175 ;1.008;325;327.761;62.275;;83.726;473.762;brice_o;Brice_o;PAGADA;;;
21-06-17;1485;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria; g6184 ;944;336;316.939;60.218;;78.410;455.567;brice_o;Brice_o;PAGADA;;;
21-06-17;482;Fact;Garage Narr ltda;Mantancion Cta Salvador;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;141.504;141.504;26.886;;;168.390;brice_o;Brice_o;;;;
21-06-17;8138;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;155.520;10;1.555.200;295.488;;;1.850.688;Massai;Massai;;;;
22-06-17;4181;Fact;Rapall;Mantancion Cta;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;63.361;63.361;12.039;;;75.400;brice_o;Brice_o;;;;
22-06-17;1930;Fact;Bertero;Cambio neumatico;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;54.622;54.622;10.378;;;65.000;brice_o;Brice_o;;;;
23-06-17;302406;Fact;Terminal Extraportuario;Texval;ExportaciÜn;San Jorge;Maiz;Maêz 17; Exp Maiz ;1;176.591;176.591;33.552;;;210.143;Valcam;Valcam;;;;
23-06-17;1;Fact;Rosario Fernandez;Semillas Flores;Comercializadora;La ligua;Marigold/Cosmo/vinca;Flores 18;;1;3.996.960;3.996.960;759.422;;;4.756.382;Valcam;Valcam;;;;
24-06-17;1935;Fact;Bertero;Rep NEUMATICO Camara;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;75.630;75.630;14.370;;;90.000;brice_o;Brice_o;;;;
27-06-17;2926046;Fact;Copeval;Neumaticos/camara;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;660.000;660.000;125.400;;;785.400;brice_o;Brice_o;Pagada;12-09-17;;
27-06-17;1497;Guêa ;Agric. Marzan;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17;;16.200;5;81.000;15.390;;;96.390;Valcam;Valcam;;;;
29-06-17;1;Fact;Vivian Cepeda;Marigold;Semillas, plantas;La ligua;Marigold;Flores 18;;19;158.400;2.977.920;565.805;;;3.543.725;Valcam;Valcam;;;;
29-06-17;30;Fact;Ventura Sepulveda;Apio;Comercializadora;Catemu;Apio 17;Apio 17;;298.240;50;14.912.000;2.833.280;;;17.745.280;Valcam;Valcam;;;;
29-06-17;122471;Fact;Ferreterias Andina ;plancha fibrocemento/clavos/pino bruto/disco corte;InversiÜn;LLay llay;Inversion comedor ;InversiÜn;;;;86.746;16.482;;;103.228;valcam;Valcam;pagada;;;
30-06-17;18;Fact;Juan Gonzalez;Apio;Comercializadora;San Pedro;Apio 17;Apio 17;;565.920;50;28.296.000;5.376.240;;;33.672.240;brice_o;Brice_o;;;;
30-06-17;19;Fact;Carlos Silva;Fletes;Traslados/Fletes;La cruz;Maquinaria;Maquinaria;;1;210.000;210.000;39.900;;;249.900;brice_o;Brice_o;;;;
30-06-17;18;Fact;Carlos Silva;Fletes;Traslados/Fletes;Quillota;Maquinaria;Maquinaria;;40;400.000;16.000.000;3.040.000;;;19.040.000;brice_o;Brice_o;;;;
30-06-17;1067;Fact;Asoc Grem Product semilla;Analisis Germinacion;An_lisis de Laboratorio;stgo;Maiz;Maêz 17; Exp Maiz ;1;31.530;31.530;5.991;;;37.521;Valcam;Valcam;;;;
30-06-17;1281;Fact;Asoc Grem Product semilla;Muestreo semilla;ExportaciÜn;San Jorge;Maiz;Maêz 17; Exp Maiz ;1;40.898;40.898;7.771;;;48.669;Valcam;Valcam;;;;
01-07-17;2926141;Fact;Copeval;NK / S. MG;Bodega;San Jorge;Bodega;Bodega;;1;332.800;   ;#çVALOR!;;;#çVALOR!;Gonzalez;Valcam;pagada;;;
01-07-17;2926142;Fact;Copeval;Roundup/gramoxone;Bodega;San Jorge;Bodega;Bodega;;1;137.500;137.500;26.125;;;163.625;Gonzalez;Valcam;PAGADA;;;
03-07-17;7384;Fact;Agrodistribuidores Ltda ;trainer;Bodega;San Jorge;Bodega;Bodega;;5;130.000;650.000;123.500;;;773.500;brice_o;Brice_o;pagada;;;
04-07-17;8164;Guêa ;Europlant;Plantulas;Semillas, plantas;San Jorge;Apio 17;Apio 17; Conga ;60.221;10;602.210;114.420;;;716.630;Invertec;Valcam;;;;
04-07-17;1969;Fact;Bertero;Cambio camara rep neumatico;MantenciÜn/ReparaciÜn;San Jorge;Maquinaria;Maquinaria;;1;67.227;67.227;12.773;;;80.000;brice_o;Brice_o;;;;
05-07-17;122585;Fact;Ferreterias Andina ;varios;InversiÜn;LLay llay;Inversion comedor ;InversiÜn;;;;120.067;22.813;;;142.880;valcam;Valcam;pagada;;;
06-07-17;1594;Fact;silva y cia ltda;Diesel;Combustible y Lubricantes;San Jorge;Maquinaria;Maquinaria;;1.006;309;311.196;59.127;;87.402;457.725;brice_o;Brice_o;PAGADA;;;
06-07-17;2047649;Guia ;Copeval;NK / S. MG;Bodega;San Jorge;Bodega;Bodega;;1;332.800;332.800;63.232;;;396.032;Gonzalez;Valcam;;;;
06-07-17;2047650;Guia ;Copeval;camara/ neumatico;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;785.400;785.400;149.226;;;934.626;Gonzalez;Brice_o;;;;
06-07-17;2926217;Fact;Copeval;Trasjes de agua;Materiales;San Jorge;Apio 17;Apio 17;;3;12.500;37.500;7.125;;;44.625;Gonzalez;Valcam;PAGADA;;;
07-07-17;67;Fact;Salinas y Salinas Ltda;Filtros;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;413.463;413.463;78.558;;;492.021;brice_o;Brice_o;pagada;;;
07-07-17;68;Fact;Salinas y Salinas Ltda;Filtros;Repuestos;San Jorge;Maquinaria;Maquinaria;;1;386.000;386.000;73.340;;;459.340;brice_o;Brice_o;pagada;;;
08-07-17;5346;Fact;Librerêa Ohiggins;Carpetas;Artêculos de oficina;San Jorge;AdministraciÜn;AdministraciÜn;;20;328;6.555;1.245;;;7.800;Valcam;Valcam;;;;
